question,answer
 کدام ماده ذخیره کنندهٔ اطلاعات وراثتی است؟, دنا
 چگونه دانشمندان به این پاسخ رسیده‌اند؟, از طریق آزمایش‌ها و باکتری‌شناسی توسط گریفیت.
 چه تجربه‌ای توسط گریفیت انجام شد؟, آزمایش‌هایی با دو نوع باکتری بر روی موش‌ها.
 کدام نوع باکتری به نام استرپتوکوکوس نومونیا بیماری آنفلوانزا را تصور می‌کرد؟, نوع با پوشینه (کپسول دار).
 چه هدفی در آزمایش‌های گریفیت وجود داشت؟, تولید واکسن برای آنفلوانزا.
 چه نوع باکتری مورد بررسی قرار گرفت؟, استرپتوکوکوس نومونیا.
 نتایج آزمایش بر روی موش‌ها چه گونه بود؟, نوع با پوشینه، سینه پهلو در موش‌ها ایجاد می‌کند.
 آیا نوع بدون پوشینه از باکتری موجب بیماری در موش‌ها می‌شود؟, نه، بیماری نمی‌افتند.
 چگونه گریفیت اثرات باکتری‌ها را بر روی موش‌ها مشاهده کرد؟, با تزریق باکتری‌های پوشینه دار و بدون پوشینه به موش‌ها.
 نتایج تزریق باکتری‌های پوشینه دار چی بود؟, بروز علائم بیماری و مرگ در موش‌ها.
 چگونه گریفیت اثر حرارت بر باکتری‌ها را بررسی کرد؟, با تزریق باکتری‌های پوشینه دار کشته شده با گرما به موش‌ها.
 نتایج تزریق مخلوط باکتری‌های پوشینه دار کشته شده و زنده چی بود؟, موش‌ها در نتیجه تزریق مخلوط مرگ کردند و باکتری‌های پوشینه دار زنده در موش‌های مرده مشاهده شد.
 چه نتیجه‌ای از آزمایش‌های گریفیت به دست آمد؟, انتقال مادهٔ وراثتی ممکن است، اما ماهیت آن ناشناخته است.
 چه عاملی اصلی در انتقال صفات وراثتی نقش دارد؟, مولکول دنا (DNA).
 چگونه دانشمندان ایوری و همکارانش عامل مؤثر در انتقال صفات را شناسایی کردند؟, از عصاره باکتری‌های پوشینه دار باقی‌مانده پس از تخریب پروتئین‌ها استفاده کردند.
 پس از تخریب پروتئین‌ها چه اتفاقی رخ داد؟, باقی‌مانده محلول به محیط کشت باکتری بدون پوشینه اضافه شد و انتقال صفت اثبات شد.
 چه نتیجه‌ای از این تجربه به دست آمد؟, پروتئین‌ها مادهٔ وراثتی نیستند و مولکول دنا اصلی برای انتقال صفات است.
 چگونه مخلوط به دست آمده در آزمایش دیگر جداگانه شد؟, با قرار دادن مخلوط در گریزانه با سرعت بالا.
 چه نتیجه‌ای از جداسازی لایه‌لایه مخلوط به دست آمد؟, انتقال صفت فقط با لایه حاوی دنا انجام می‌شود.
 نتایج آزمایش‌ها چه تأثیری بر تئوری‌های وراثت داشت؟, تأیید کرد که دنا ماده وراثتی اصلی است.
 چرا برخی دانشمندان نتایج را قبول نکردند؟, به دلیل اعتقاد به نقش ماده‌ی وراثتی در پروتئین‌ها.
 چگونه در آزمایش‌ها، نقش آنزیم‌ها در انتقال صفت بررسی شد؟, با اضافه کردن آنزیم‌های تخریب کننده به قسمت‌های مختلف عصارهٔ باکتری و مشاهده انتقال صفت.
 چه نتایجی از آزمایش با آنزیم‌های تخریب کننده به دست آمد؟, انتقال صفت در تمام ظروف انجام می‌شود، به جز زمانی که آنزیم تخریب کننده دنا وجود داشت.
 نتایج این آزمایش‌ها چه مفهومی را برای دانشمندان ایجاد کرد؟, تأیید می‌کند که دنا بازیگر اصلی در انتقال صفت وراثتی است.
 نوکلئیک اسیدها شامل چه دو نوع اصلی هستند؟, دنا (دئوکسی ریبونوکلئیک اسید) و رنا (ریبونوکلئیک اسید).
 نوکلئوتید چه ساختاری دارد؟, قند پنج کربنه، باز آلی نیتروژن دار، و گروه‌های فسفات.
 چه تفاوتی بین دئوکسی ریبوز و ریبوز وجود دارد؟, دئوکسی ریبوز یک اکسیژن کمتر از ریبوز دارد.
 چه گروه‌هایی می‌تواند در باز آلی نیتروژن دار وجود داشته باشد؟, پورین (آدنین و گوانین) و پیریمیدین (سیتوزین، تیمین یا یوراسیل).
 چه تفاوتی بین تیمین و یوراسیل در دنا و رنا وجود دارد؟, در دنا تیمین وجود دارد، اما در رنا باز یوراسیل به جای تیمین استفاده می‌شود.
 تفاوت میان دئوکسی ریبوز و ریبوز چیست؟, دئوکسی ریبوز یک اکسیژن کمتر از ریبوز دارد.
 چه گروه‌هایی می‌توانند در باز آلی نیتروژن دار وجود داشته باشند؟, پورین (آدنین و گوانین) و پیریمیدین (سیتوزین، تیمین یا یوراسیل).
 تفاوت میان ساختار دو حلقه‌ای و تک حلقه‌ای پورین چیست؟, پورین دو حلقه‌ای (آدنین و گوانین) و تک حلقه‌ای (یوراسیل) است.
 در ساختار دنا چه باز هایی شرکت ندارند؟, دنا باز یوراسیل و باز آلی نیتروژن دار (آدنین و گوانین) شرکت ندارند.
 چه تفاوتی بین تیمین و یوراسیل در رنا وجود دارد؟, در رنا به جای تیمین، باز یوراسیل وجود دارد.
 چه عوامل به تشکیل نوکلئوتید کمک می‌کنند؟, باز آلی نیتروژن دار و گروه یا گروه‌های فسفات با پیوند اشتراکی.
 چگونه نوکلئوتیدها از نظر نوع قند، باز آلی و تعداد گروه‌های فسفات با یکدیگر تفاوت دارند؟, تفاوت‌ها در نوع قند (دئوکسی ریبوز یا ریبوز)، نوع باز آلی نیتروژن دار (پورین یا پیریمیدین) و تعداد گروه‌های فسفات وجود دارد.
 چه نوع پیوندی در نوکلئوتیدها به نام فسفودی استر وجود دارد؟, پیوند اشتراکی فسفودی استر.
 چگونه نوکلئوتیدها به هم متصل می‌شوند؟, نوکلئوتیدها با پیوند فسفودی استر به یکدیگر متصل می‌شوند و رشته پلی نوکلئوتیدی را می‌سازند.
 گروه عاملی فسفو دی استر در ساختار نوکلئوتید چیست؟, گروه عاملی فسفو دی استر با فرمول pOPO و در نوکلئوتیدها به عنوان پیوند فسفودی استر وجود دارد.
 رشته‌های پلی نوکلئوتیدی چه می‌سازند؟, رشته‌های پلی نوکلئوتیدی نوکلئیک اسیدها (مثل دنا) یا رنا را می‌سازند.
 چگونه نوکلئوتیدها به رشته پلی نوکلئوتیدی متصل می‌شوند؟, نوکلئوتیدها با پیوند فسفودی استر به یکدیگر متصل می‌شوند و رشته پلی نوکلئوتیدی را می‌سازند.
 چگونه مولکول‌های دنا تشکیل می‌شوند؟, مولکول‌های دنا از دو رشته پلی نوکلئوتید تشکیل می‌شوند.
 چگونه مولکول‌های رنا تشکیل می‌شوند؟, مولکول‌های رنا از یک رشته پلی نوکلئوتید تشکیل می‌شوند.
 چگونه می‌توان دو انتهای رشته‌های پلی نوکلئوتید را با پیوند فسفودی استر به هم متصل کرد؟, دو انتهای رشته‌های پلی نوکلئوتید می‌توانند با پیوند فسفودی استر به هم متصل شوند و نوکلئیک اسید حلقوی را ایجاد کنند.
 چگونه ساختار نوکلئیک اسید حلقوی در باکتری‌ها است؟, در باکتری‌ها، دنا به صورت حلقوی است.
 در نوکلئیک اسیدهای خطی، چه گروه‌هایی در انتهای‌ها آزاد هستند؟, در نوکلئیک اسیدهای خطی، در یک انتها گروه فسفات و در انتهای دیگر گروه هیدروکسیل آزاد است.
 چرا هر رشتهٔ دنا و رنای خطی دو سر متفاوت دارند؟, به دلیل وجود گروه فسفات در یک انتها و گروه هیدروکسیل در انتهای دیگر.
 در ابتدا چه تصوری درباره توزیع نوکلئوتید‌ها در مولکول دنا وجود داشت؟, تصور می‌شد که چهار نوع نوکلئوتید به نسبت مساوی در سراسر مولکول دنا توزیع شده‌اند.
 چه مشاهداتی از تحقیقات چارگاف برای نوکلئوتیدهای دنا به دست آمد؟, مقدار آدنین با مقدار تیمین برابر بوده و مقدار گوانین با مقدار سیتوزین برابری می‌کند.
 چرا مقدار آدنین با مقدار تیمین برابر است و مقدار گوانین با مقدار سیتوزین برابری می‌کند؟, تحقیقات نشان داد که این برابری نوکلئوتیدها به دلیل تشکیل جفت پایه‌های هیدروژنی بین آدنین و تیمین، و همچنین بین گوانین و سیتوزین است.
 چگونه ویلکینز و فرانکلین از پرتو ایکس برای تصویربرداری از دنا استفاده کردند؟, ویلکینز و فرانکلین با استفاده از پرتو ایکس تصاویری از مولکول دنا تهیه کردند.
 چه نتایجی از تصاویر تهیه شده با پرتو ایکس برای ساختار دنا به دست آمد؟, از تصاویر تهیه شده نتایجی مانند حالت مارپیچی و وجود بیش از یک رشته در مولکول دنا به دست آمد.
 چرا استفاده از پرتو ایکس برای تصویربرداری از دنا مفید بود؟, این روش به شناخت ساختار دنا و مشخصهای مهم آن کمک کرد، مانند حالت مارپیچی و تعداد رشته‌ها.
 چگونه واتسون و کریک مدل مولکولی نردبان مارپیچ دنا را ارائه دادند؟, با استفاده از نتایج آزمایش‌های چارگاف، داده‌های تصاویر پرتو ایکس و یافته‌های خود، واتسون و کریک مدل مولکولی نردبان مارپیچ دنا را ساختند.
 چرا واتسون و کریک برای ارائه این مدل مولکولی نردبان مارپیچ دنا جایزه نوبل دریافت کردند؟, این مدل مولکولی نردبان مارپیچ دنا که توسط واتسون و کریک ارائه شد، مفهومی بسیار مهم و دقیق از ساختار دنا ارائه داد و تأثیر گذار بر زمینه بیولوژی مولکولی بود، بنابراین آنها در سال ۱۹۶۲ جایزه نوبل دریافت کردند.
 مدل واتسون و کریک چگونه ساختار مولکول دنا را توصیف می‌کند؟, این مدل مولکول دنا را از دو رشته پلی نوکلئوتیدی ساخته‌شده تشکیل داده است که به دور محوری پیچیده می‌شوند و یک ساختار مارپیچ دو رشته‌ای را ایجاد می‌کنند.
